"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000187801.15",2.72347331712357,-0.519070369837221,5.48151751887884,3.44990417233998e-05,0.00023406820481988,2.48039348247968
"ENSG00000133858.17",1.11242931244255,4.41199056391473,5.4809374723569,3.4541033594358e-05,0.000234269769812089,2.05370693787155
"ENSG00000184916.9",1.83519556626035,3.43676258330501,5.47929602714802,3.4660148982206e-05,0.000234924858501363,2.18161957687994
"ENSG00000099956.20",0.911351535519058,5.6298108795798,5.47926704009924,3.46622562826571e-05,0.000234924858501363,1.96443474502621
"ENSG00000109674.4",3.43664810137063,-1.81482961409253,5.47863672636547,3.47081113786084e-05,0.000235152078228355,2.45741468228749
"ENSG00000136156.15",-1.00394901272807,8.26888014797514,-5.47835712626338,3.47284721249651e-05,0.0002352064703009,2.02823132729521
"ENSG00000156299.13",-2.22552125196703,2.07722447312884,-5.47786364378092,3.47644379224266e-05,0.00023536647499344,2.28404032339128
"ENSG00000231185.7",3.6898568596393,-2.15685469715053,5.47745760883115,3.47940590834624e-05,0.000235483426131936,2.43514353987623
"ENSG00000175606.11",-1.43829638049024,3.96647578734752,-5.47640164204052,3.48712156356805e-05,0.00023587251958514,2.02185615627795
"ENSG00000119979.18",-0.945429528323017,3.37422980415902,-5.47633234823154,3.48762848799336e-05,0.00023587251958514,2.10593427774633
"ENSG00000128581.17",1.6454256317434,3.38403183658136,5.47342800613456,3.5089436295437e-05,0.000237229964206514,2.16882618064282
"ENSG00000089091.16",1.85668486942912,0.929002513817517,5.47261871885115,3.51490683426185e-05,0.000237548912625946,2.38155222579568
"ENSG00000100330.16",1.37718449475556,1.81293183622347,5.47210556465595,3.51869338273948e-05,0.000237720581635166,2.30311606383492
"ENSG00000125337.19",-2.74208157671694,-1.18895903639821,-5.4714327027936,3.52366475664836e-05,0.000237972146737951,2.46115165229567
"ENSG00000176485.12",-1.86638961902162,5.42970805288205,-5.47080597305016,3.52830177516586e-05,0.000238200960906065,1.91898438426762
"ENSG00000111907.21",-2.2169588841991,3.99405638887873,-5.47017399559006,3.5329839649992e-05,0.000238432661643541,2.01899781143431
"ENSG00000229896.2",-2.41338612554293,-1.10849680472015,-5.46909044300574,3.54102663314973e-05,0.000238890908904958,2.45442114954449
"ENSG00000135723.14",1.76616857225895,3.41587259624085,5.46873482466992,3.54367030530467e-05,0.000238948420529353,2.15917730622234
"ENSG00000137842.7",1.11118988365566,3.87097733432223,5.46849921017616,3.54542298312397e-05,0.000238948420529353,2.08468407800844
"ENSG00000140950.16",1.66127396811799,2.69314305885861,5.46847034815829,3.54563774170548e-05,0.000238948420529353,2.22278110860571
