"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000234614.1",0.875373444823223,-0.595184891757389,1.09370210444871,0.297084998379897,0.378162256497457,-5.90848435919185
"ENSG00000174231.17",0.190128624493129,7.46429577274757,1.09356530733633,0.297142477772651,0.378210179930592,-6.76326831018691
"ENSG00000198015.14",0.192852417234005,5.08908835242896,1.0934600838342,0.297186696328606,0.378220658124533,-6.77910650430214
"ENSG00000067798.16",0.909611996545674,0.927397273511481,1.09345133667571,0.29719037241266,0.378220658124533,-6.08258555930729
"ENSG00000186300.12",0.273922599245535,1.32206638221436,1.09287418759761,0.297433001770157,0.378504184277069,-6.26985756754788
"ENSG00000104983.8",0.204731729791953,3.11587547857188,1.09242567882111,0.29762165570749,0.378699402241849,-6.58483261873253
"ENSG00000175105.8",-0.489162800997609,3.351381442553,-1.09241507051013,0.297626118928433,0.378699402241849,-6.45252640876579
"ENSG00000105483.18",0.198454434021945,4.12050464290542,1.09225912614905,0.297691735073146,0.378743370548433,-6.66828719182129
"ENSG00000165288.11",0.267728191368151,3.60812003933462,1.09219626258311,0.297718189060129,0.378743370548433,-6.52910638143649
"ENSG00000169860.7",-0.672896561101231,1.26809586411923,-1.09219136486913,0.297720250171042,0.378743370548433,-6.08282941286884
"ENSG00000121440.15",-0.470108999646254,1.278639275988,-1.09186436553876,0.297857886249637,0.378893190592481,-6.07200384606545
"ENSG00000042286.15",0.236948657219685,4.62024757711294,1.09117523421708,0.298148104408019,0.379237071313174,-6.72565846794573
"ENSG00000212916.4",0.50786678138143,1.73721079788018,1.09086303599714,0.298279653130107,0.379354212570544,-6.25731139353414
"ENSG00000239830.1",0.70964165747805,-1.75440000703576,1.09086226123552,0.298279979640723,0.379354212570544,-5.79457363711211
"ENSG00000176728.10",0.353312664123798,-0.333408193304616,1.09077952257529,0.298314850060482,0.379373262676102,-6.34443668761344
"ENSG00000149054.16",0.897650379366778,-1.40020883763676,1.09029677743811,0.298518366022027,0.379606766020276,-5.74276864042839
"ENSG00000104969.11",0.231334813777011,6.01170416779088,1.08959988072358,0.2988123502296,0.379955273256813,-6.79070931846013
"ENSG00000064313.12",0.292062131708795,4.06177285052912,1.0890797031257,0.299031929249686,0.380209130310001,-6.60744584488531
"ENSG00000213901.11",0.415548750826273,-0.415989339010094,1.08895671964325,0.299083861340383,0.380249810244903,-6.14321517951327
"ENSG00000223403.6",1.3328673841469,-2.78536540217871,1.0883734557952,0.299330248777518,0.380537695286284,-5.55323884546523
"ENSG00000104067.17",0.18585250807269,5.99327484670403,1.08817257976984,0.299415140271171,0.380620246300858,-6.80034426944543
"ENSG00000132388.12",-0.210422765150994,5.25201838585893,-1.08735073114427,0.299762649180692,0.381036606583189,-6.79626693745329
"ENSG00000168970.22",0.392050627772535,0.725551322644073,1.08687402403193,0.29996435937424,0.381267594934056,-6.14320964245973
"ENSG00000280798.1",0.3378035127876,2.13894095590908,1.08644058350155,0.300147851482642,0.381475398072567,-6.31748134833167
"ENSG00000231467.2",-1.14410102941858,-2.7523766129613,-1.08639052779811,0.300169047479619,0.381476915674771,-5.72565904209934
"ENSG00000187676.8",0.294409736287532,2.76843038404376,1.08627249905388,0.300219031034475,0.381515015984109,-6.43454223868591
"ENSG00000257285.6",-0.424902852118991,-0.550480646323317,-1.08621943358295,0.300241505591839,0.381518155416587,-6.15751643391932
"ENSG00000090470.15",0.216481707302766,3.59677927775461,1.08587358717008,0.30038801149288,0.381678891085424,-6.58988161590172
"ENSG00000166147.14",0.604209194618592,4.66021179816766,1.08577910924458,0.300428043237421,0.381696289065235,-6.52391638733341
"ENSG00000178789.9",0.659051522434972,-1.04681385600081,1.08574680755777,0.300441730885451,0.381696289065235,-5.80050355251541
"ENSG00000225361.4",0.553749140382846,0.533216924748849,1.08555820222662,0.300521660720946,0.381772404800498,-6.0694376204639
"ENSG00000031698.13",-0.263542979636997,6.68131089380248,-1.08546936253912,0.300559316048941,0.381794809889796,-6.79084537426281
"ENSG00000272836.1",0.476570040260632,-0.960305632399845,1.08536584764838,0.30060319607998,0.381825118590568,-6.00905964294948
"ENSG00000172005.11",0.849086300933164,-1.51470261675399,1.08528554438004,0.300637240035838,0.381842930338539,-5.69005041612261
"ENSG00000175564.13",0.443519388176107,-0.857709600879257,1.0848509456108,0.300821535599899,0.382051563358945,-5.85828976726952
"ENSG00000261888.1",0.647378471765133,-1.10448480022274,1.08423627868522,0.30108233696968,0.382353700487673,-5.75124131739389
"ENSG00000129757.14",0.433778453206725,2.78038498411976,1.08419577271631,0.301099529552452,0.382353700487673,-6.44692204719342
"ENSG00000180096.12",-0.488092885588042,1.92443924843328,-1.08284614708287,0.301672797923628,0.383056165246301,-6.27653119685228
"ENSG00000131941.8",0.325157294499186,5.01703447564149,1.08243616691815,0.301847105209308,0.383251979931557,-6.75970992090596
"ENSG00000011478.13",-0.241371325292489,3.46219812662398,-1.08202805742623,0.302020692933258,0.383446854987558,-6.62204351022254
"ENSG00000157368.11",0.471243038928758,1.85332122371935,1.08196477089506,0.302047618375104,0.383455513389468,-6.2331188246377
"ENSG00000159433.12",-0.376720727583874,1.46461311483663,-1.08172789842622,0.302148412606683,0.383544175661184,-6.17993041936734
"ENSG00000145730.20",0.431497881333148,4.51995259950379,1.0817061266485,0.302157678235596,0.383544175661184,-6.61781588567291
"ENSG00000000419.13",-0.182158088825264,4.51875358861823,-1.08160772681176,0.302199557903289,0.383571806757056,-6.70974184323978
"ENSG00000231625.4",1.05250141844301,-2.13573058687972,1.08128950336566,0.302335026154999,0.383718215134634,-5.78687253442451
"ENSG00000143353.12",-0.214630251960515,4.26253363970881,-1.08104528640754,0.302439020906683,0.383824661081465,-6.76619489127932
"ENSG00000135525.18",-0.438872794297835,4.99309019692689,-1.08060301996041,0.302627419883979,0.384038202942794,-6.77279958482991
"ENSG00000125611.15",-0.208754733322588,3.80982464191437,-1.08016120211316,0.30281571646616,0.384235688118707,-6.73379054451318
"ENSG00000224914.4",-0.387855990038261,0.734662530964792,-1.08014333250588,0.302823334108236,0.384235688118707,-6.20758671121364
"ENSG00000178988.11",-0.184222817343415,5.59084146993384,-1.08009337397068,0.302844631721928,0.384237148496582,-6.81405010296147
"ENSG00000119042.17",-0.606039803690795,2.48701047888501,-1.07998429614896,0.302891136170849,0.384270587976481,-6.3653566680179
"ENSG00000175471.19",0.396746373640917,1.54568004570042,1.0798855992197,0.302933219467803,0.384298414373416,-6.16824981035205
"ENSG00000164164.17",-0.259993109653249,4.96958321546484,-1.07981733357317,0.302962329785739,0.384309780756476,-6.76274657314992
"ENSG00000196116.8",-0.266655735160346,3.44800464230946,-1.07974809842036,0.302991855689766,0.384321672766376,-6.50877499595236
"ENSG00000198440.9",-0.338102610397655,1.17844678324138,-1.07958786570449,0.303060196609804,0.384382793758209,-6.32873193872454
"ENSG00000178460.18",0.462665731799536,-0.295791222536125,1.07935886164335,0.303157889472525,0.384481132332757,-6.07897877131863
"ENSG00000162552.15",0.544971260926464,1.75434158699215,1.07907932620419,0.303277171256142,0.384606836238922,-6.45161213709176
"ENSG00000198133.8",0.503227174524051,1.11849663186067,1.07887549679443,0.303364170574742,0.38466889510596,-6.20576142037502
"ENSG00000182796.14",0.254493078793621,3.53881614359688,1.07887016716603,0.303366445642237,0.38466889510596,-6.65963357381578
"ENSG00000126773.13",0.25299733691271,4.67170183328405,1.07850733979003,0.303521356729786,0.384839736441329,-6.75961668063959
"ENSG00000081019.13",0.199802732563691,3.63679089534478,1.07831985342575,0.303601428480317,0.384915671340597,-6.59617231088454
"ENSG00000149761.9",-0.256708107088893,3.71808141125576,-1.07759322739602,0.303911907164993,0.385283694060805,-6.65862767145198
"ENSG00000066629.18",0.423260613070406,2.89617345895278,1.07750818646869,0.303948259833153,0.385292371679716,-6.34592922565273
"ENSG00000253704.2",0.476889755895573,-1.6186515029479,1.07748269809458,0.303959156055631,0.385292371679716,-5.96561368731913
"ENSG00000215548.2",0.454010846817552,-1.4944415431501,1.07731966915637,0.30402885754543,0.385355112055987,-6.09730016000578
"ENSG00000162924.15",-0.447788029945525,2.01327814120475,-1.07675971072462,0.304268354541841,0.385633044778176,-6.22200904125198
"ENSG00000122705.17",0.223546471924808,6.24078048745364,1.07636525878764,0.304437149183195,0.385810359252517,-6.8099308264445
"ENSG00000269113.4",0.695049763597007,3.59956599252123,1.07633823522579,0.304448715748238,0.385810359252517,-6.59330158376089
"ENSG00000134077.16",-0.248121514172322,3.91973044011544,-1.07618189955577,0.304515636713575,0.385869525174494,-6.64712470214565
"ENSG00000229404.6",1.53378569584283,-5.56008448818473,1.07577627816504,0.304689318630131,0.386039239091933,-5.30324846075932
"ENSG00000153933.10",-0.319630570631863,2.64071163451486,-1.07577456650089,0.304690051701493,0.386039239091933,-6.35309957693211
"ENSG00000185347.18",-0.397052196680569,3.00555334323092,-1.07563732860481,0.304748832271886,0.386088064905634,-6.64617906043754
"ENSG00000143727.16",-0.209225945485923,6.10983015156595,-1.07542738146533,0.304838771626375,0.386176356855411,-6.81940402689168
"ENSG00000127311.10",0.452104048077338,-0.0218751535142132,1.0753124271922,0.304888025436937,0.386213099171975,-6.03760107314625
"ENSG00000250303.4",-0.347055977443286,1.79783988579421,-1.07509919213002,0.304979404982476,0.386303195312863,-6.43206255795262
"ENSG00000187994.14",-0.360667806354322,2.68781782675777,-1.07493214844203,0.305051004171583,0.386368226295685,-6.45604949281204
"ENSG00000176853.16",-0.234882116206951,5.44703080550461,-1.07413534106534,0.305392710878266,0.386775335803858,-6.80458939588725
"ENSG00000148154.10",-0.302608385612611,5.23620826364852,-1.07333223075671,0.305737412938486,0.387186184565924,-6.79783797572207
"ENSG00000121741.16",0.255271255789493,5.23407869407801,1.07317817533254,0.305803568450351,0.387222796934136,-6.79717484567911
"ENSG00000132970.14",-0.681180992977024,1.98656639289298,-1.07317034819781,0.305806929919356,0.387222796934136,-6.27303806585524
"ENSG00000276672.1",0.637759572265305,-1.18937371153804,1.073065362558,0.305852020119865,0.38725418095506,-5.88213595961608
"ENSG00000226450.2",-0.628418022814036,-0.89488210639263,-1.07251090387511,0.30609023737561,0.387530072173901,-6.0174807580336
"ENSG00000253636.1",0.447220549864457,-1.67759833665699,1.07241662343186,0.306130757885429,0.38754590383922,-5.78127878908857
"ENSG00000213585.11",0.245416534868236,7.70420717247541,1.07238725170056,0.306143382300844,0.38754590383922,-6.73505798709017
"ENSG00000175414.7",0.55513527803693,1.45497046464461,1.07224718610857,0.306203590018867,0.387596394029325,-6.10759655221988
"ENSG00000260855.1",-0.364391290064658,0.136523379518262,-1.07136187184057,0.306584352358688,0.388028413851991,-6.12006156702899
"ENSG00000180370.10",0.179565450523533,6.21052098385342,1.07135902041713,0.306585579296123,0.388028413851991,-6.81760292028551
"ENSG00000232388.5",-0.238960750638973,3.14157136683679,-1.07109337737398,0.306699898939382,0.388147343899927,-6.63776838267014
"ENSG00000145358.6",1.96623069841171,-1.82458342800166,1.07078050580035,0.306834584632714,0.388292030927949,-5.52111009058168
"ENSG00000158769.18",0.307548440458584,6.92205274843586,1.07062873134176,0.306899936922481,0.38834896476815,-6.79181510798706
"ENSG00000119922.10",0.553249883757561,4.14070266791667,1.06930296538376,0.307471242341841,0.389046078016559,-6.63496968360396
"ENSG00000248092.8",-0.38055059792579,3.42167625983625,-1.06903465911146,0.307586959617675,0.389166677313805,-6.42862515971935
"ENSG00000198885.10",0.659626141951763,-0.253306426050095,1.06892515150582,0.307634198362533,0.389200625616599,-5.84252749035272
"ENSG00000198081.11",-0.227518820629882,2.83614679243491,-1.06878169103591,0.307696091764366,0.389253108392809,-6.44982245357875
"ENSG00000240859.3",0.376489625422404,0.248769492327295,1.06859711766306,0.307775736377013,0.389315008545758,-6.25020413646684
"ENSG00000112787.13",0.194645842746008,5.48809769648763,1.06857368622975,0.30778584830395,0.389315008545758,-6.82093611278827
"ENSG00000106524.9",0.244487965396705,3.26444556078765,1.06808499406163,0.307996802370565,0.389556006022377,-6.5073838044532
"ENSG00000187391.22",-0.290416391125077,1.94913961487128,-1.06764685107941,0.308186028406241,0.389769491628901,-6.36545174189787
"ENSG00000162654.9",-0.734502033117409,4.10944161445627,-1.06752316438416,0.308239462296948,0.389811221068059,-6.46044287512568
"ENSG00000075420.13",0.284291410746857,6.08573013753526,1.06738697216128,0.308298306770263,0.389859786946191,-6.80614649203972
"ENSG00000119801.13",-0.16039996264422,5.94878580755254,-1.06733662306714,0.308320063207661,0.389861449678215,-6.82802821042876
"ENSG00000158966.16",0.403946891740757,2.81863444594502,1.06728676494186,0.308341608630767,0.389862845386236,-6.38125486393196
"ENSG00000113088.6",-1.04886068746665,-0.850603098108306,-1.06708606077865,0.308428351318907,0.389946669960504,-5.79699456044821
"ENSG00000117262.19",0.286163109449387,1.97148169758992,1.06702406626868,0.308455148549574,0.389954699266702,-6.41456071900725
"ENSG00000231532.6",1.54249781598724,-5.506162823629,1.06669442023385,0.308597668039232,0.390109016029975,-5.31734185906653
"ENSG00000236384.7",0.87559934694585,-2.96891259296731,1.06647645159019,0.308691932036313,0.390202314938796,-5.68854432372249
"ENSG00000211968.3",-1.15363434541643,-2.8082302297832,-1.06606596804196,0.308869510991442,0.390400908849412,-5.53577693942954
"ENSG00000167604.15",0.374366501727523,1.30500317260846,1.06599455214523,0.308900414014151,0.390414095167521,-6.25364880158034
"ENSG00000165233.18",0.307433251453324,3.23243442047029,1.06547489626502,0.309125349103042,0.390672497388723,-6.55175054916524
"ENSG00000049245.13",-0.258833488700199,5.61210195801495,-1.0651827170449,0.309251874137264,0.390806503017883,-6.82832133297513
"ENSG00000146950.13",-0.582065354000014,3.52681821212416,-1.06476796102831,0.309431546615253,0.391007649708216,-6.36485007022555
"ENSG00000214279.13",0.486195181664586,1.10300942094251,1.06400023081615,0.309764334811681,0.39140223887163,-6.26962102295592
"ENSG00000095564.14",-0.375748041324834,4.49889776372248,-1.06384917232025,0.309829845847236,0.391441291135373,-6.64193602257679
"ENSG00000281207.1",-0.521725496782666,0.189784743780066,-1.06383431340112,0.309836290424685,0.391441291135373,-6.16915823088821
"ENSG00000278974.1",-0.352350104385803,0.224905396328078,-1.06328675205636,0.310073847807493,0.391715468330431,-6.22207405182744
